PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,7.926976681,9.421455383
Fp1_Col1_Fp1_Col2,7.910444736,8.051962852
Fp1_Col1_Fp1_Col2,7.90293169,9.719150543
Fp1_Col1_Fp1_Col2,7.899248123,8.581179619
Fp1_Col1_Fp1_Col2,7.896348953,8.885605812
Fp1_Col1_Fp1_Col2,7.893062115,11.71185493
Fp1_Col1_Fp1_Col2,7.872015953,9.832146645
Fp1_Col1_Fp1_Col2,7.842310905,7.960048199
Fp1_Col1_Fp1_Col2,7.840399265,11.06775093
Fp1_Col1_Fp1_Col2,7.839522362,8.285583496
Fp1_Col1_Fp1_Col2,7.80749321,15.34705734
Fp1_Col1_Fp1_Col2,7.791762352,11.90406227
Fp1_Col1_Fp1_Col2,7.783774376,11.08073902
Fp1_Col1_Fp1_Col2,7.7697258,7.982309818
Fp1_Col1_Fp1_Col2,7.754683495,10.38138294
Fp1_Col1_Fp1_Col2,7.754275799,8.771647453
Fp1_Col1_Fp1_Col2,7.75405407,10.24070358
Fp1_Col1_Fp1_Col2,7.753731251,13.25867748
Fp1_Col1_Fp1_Col2,7.75113678,7.758794308
Fp1_Col1_Fp1_Col2,7.730208874,9.462637901
Fp1_Col1_Fp1_Col2,7.7281394,8.568571091
Fp1_Col1_Fp1_Col2,7.722641945,8.157824516
Fp1_Col1_Fp1_Col2,7.711231232,8.639960289
Fp1_Col1_Fp1_Col2,7.696802616,8.971533775
Fp1_Col1_Fp1_Col2,7.687168598,9.456914902
Fp1_Col1_Fp1_Col2,7.65535593,10.64172077
Fp1_Col1_Fp1_Col2,7.653148651,8.726914406
Fp1_Col1_Fp1_Col2,7.650201797,9.810055733
Fp1_Col1_Fp1_Col2,7.63331604,10.83996582
Fp1_Col1_Fp1_Col2,7.627045155,9.420322418
Fp1_Col1_Fp1_Col2,7.621226311,8.559167862
Fp1_Col1_Fp1_Col2,7.618283272,8.433481216
Fp1_Col1_Fp1_Col2,7.6059165,8.678318024
Fp1_Col1_Fp1_Col2,7.568378925,8.786146164
Fp1_Col1_Fp1_Col2,7.536393642,7.626235485
Fp1_Col1_Fp1_Col2,7.512808323,9.185258865
Fp1_Col1_Fp1_Col2,7.479925632,7.621185303
Fp1_Col1_Fp1_Col2,7.456317902,8.716272354
Fp1_Col1_Fp1_Col2,7.44597578,13.13546848
Fp1_Col1_Fp1_Col2,7.414552212,7.923148155
Fp1_Col1_Fp1_Col2,7.409077168,8.030643463
Fp1_Col1_Fp1_Col2,7.403717041,7.416664124
Fp1_Col1_Fp1_Col2,7.39632988,7.670227528
Fp1_Col1_Fp1_Col2,7.375882626,7.967262268
Fp1_Col1_Fp1_Col2,7.363154411,9.805093765
Fp1_Col1_Fp1_Col2,7.345017433,8.79934597
Fp1_Col1_Fp1_Col2,7.323326111,8.490290642
Fp1_Col1_Fp1_Col2,7.299264908,8.534888268
Fp1_Col1_Fp1_Col2,7.29662323,9.157184601
Fp1_Col1_Fp1_Col2,7.275678158,7.784544468
Fp1_Col1_Fp1_Col2,7.231144905,10.37779999
Fp1_Col1_Fp1_Col2,7.227408409,7.265268803
Fp1_Col1_Fp1_Col2,7.225560188,15.17192745
Fp1_Col1_Fp1_Col2,7.19513607,10.40679169
Fp1_Col1_Fp1_Col2,7.181844234,9.2096138
Fp1_Col1_Fp1_Col2,7.157498837,11.57355976
Fp1_Col1_Fp1_Col2,7.15504837,8.036259651
Fp1_Col1_Fp1_Col2,7.151246071,7.740516186
Fp1_Col1_Fp1_Col2,7.150976658,9.359378815
Fp1_Col1_Fp1_Col2,7.150802135,8.184661865
Fp1_Col1_Fp1_Col2,7.149087429,8.894212723
Fp1_Col1_Fp1_Col2,7.14578104,7.418833256
Fp1_Col1_Fp1_Col2,7.138548374,9.577764511
Fp1_Col1_Fp1_Col2,7.134380817,7.968645096
Fp1_Col1_Fp1_Col2,7.099297047,7.892418861
Fp1_Col1_Fp1_Col2,7.099125385,7.397625446
Fp1_Col1_Fp1_Col2,7.088346958,7.141952038
Fp1_Col1_Fp1_Col2,7.082993031,7.210896969
Fp1_Col1_Fp1_Col2,7.077198029,8.089998245
Fp1_Col1_Fp1_Col2,7.067103863,7.367006302
Fp1_Col1_Fp1_Col2,7.033188343,7.814002514
Fp1_Col1_Fp1_Col2,7.024657249,12.09741879
Fp1_Col1_Fp1_Col2,7.011499882,7.216497898
Fp1_Col1_Fp1_Col2,6.968401909,7.562567711
Fp1_Col1_Fp1_Col2,6.962202072,8.527007103
Fp1_Col1_Fp1_Col2,6.961897373,10.96375179
Fp1_Col1_Fp1_Col2,6.961615086,7.805646896
Fp1_Col1_Fp1_Col2,6.953966618,10.36919975
Fp1_Col1_Fp1_Col2,6.93961668,6.950388908
Fp1_Col1_Fp1_Col2,6.883298874,7.31210947
Fp1_Col1_Fp1_Col2,6.859867096,11.12494755
Fp1_Col1_Fp1_Col2,6.859466076,12.17567635
Fp1_Col1_Fp1_Col2,6.859246254,10.18988705
Fp1_Col1_Fp1_Col2,6.830452442,10.88066483
Fp1_Col1_Fp1_Col2,6.827872753,8.486236572
Fp1_Col1_Fp1_Col2,6.823693275,8.580601692
Fp1_Col1_Fp1_Col2,6.814011097,8.551139832
Fp1_Col1_Fp1_Col2,6.811681747,9.799843788
Fp1_Col1_Fp1_Col2,6.810693741,7.254498959
Fp1_Col1_Fp1_Col2,6.809446335,12.00344658
Fp1_Col1_Fp1_Col2,6.788362026,7.63990593
